Market,Selection,Bid type,Bet ID,Bet placed,,Persistence,Odds req.,Stake (£),Liability (£),Avg. odds matched,Profit/Loss (£)
Football / Brazil (W) v Panama (W) / Match Odds,Brazil (W),Lay,314581331103,24-Jul-23 07:45,,C,1.06,"1,000.00",60.00,1.06,(60.00)
Football / Germany (W) v Morocco (W) / Match Odds,Germany (W),Lay,314581351768,24-Jul-23 07:46,,C,1.14,250.00,35.00,1.14,(35.00)
Football / Germany (W) v Morocco (W) / Match Odds,The Draw,Lay,314583524916,24-Jul-23 08:55,,C,8.8,32.38,252.56,8.8,32.38
Football / Germany (W) v Morocco (W) / Match Odds,Morocco (W),Lay,314583524917,24-Jul-23 08:55,,C,19,9.01,162.18,19,9.01
Football / Germany (W) v Morocco (W) / Match Odds,Morocco (W),Lay,314583524918,24-Jul-23 08:55,,C,19.5,5.83,107.86,19.5,5.83
Football / Germany (W) v Morocco (W) / Match Odds,Germany (W),Back,314583526804,24-Jul-23 08:55,,C,1.19,0.05,,1.19,0.01
Football / Germany (W) v Morocco (W) / Match Odds,Germany (W),Lay,314583819257,24-Jul-23 09:04,,C,1.19,200.00,38.00,1.19,(38.00)
Football / Germany (W) v Morocco (W) / Match Odds,Germany (W),Back,314586379365,24-Jul-23 10:04,,C,1.06,224.52,,1.06,13.47
Football / Germany (W) v Morocco (W) / Match Odds,The Draw,Back,314588028700,24-Jul-23 10:35,,C,1000,2.00,,1000,(2.00)
GB / Newmarket 22nd Jul / 14:30 2 TBP,Carolina Reaper,Lay,314375630307,22-Jul-23 14:24,,C,2.04,10.00,10.40,2.04,(10.40)
GB / Newmarket 22nd Jul / 14:30 7f Mdn Stks,Al Hujaija,Back,314376043850,22-Jul-23 14:26,,C,4.4,5.11,,4.3,(5.11)
GB / Cartmel 22nd Jul / 14:15 2m6f Nov Hrd,Kinbara,Lay,314361060369,22-Jul-23 13:03,,C,1.25,182.56,45.64,1.25,(45.64)
